Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CCEL,Cryo-Cell International Inc. Common Stock,$4.4168,0.1468,3.438%,37627823.00,United States,2022,5617,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$88.11,-1.49,-1.663%,837046586.00,United States,1995,28805,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$1.82,0.05,2.825%,32314027.00,United States,,1122841,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$34.28,-0.62,-1.777%,934811624.00,United States,1951,42652,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.39,0.02,0.193%,74117844.00,United States,1999,25929,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.65,-0.01,-0.376%,138698329.00,United States,,193856,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$18.29,-0.02,-0.109%,225097902.00,United States,1998,2821,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,$10.30,0.00,0.00%,20336598.00,United States,2003,39,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.58,-0.08,-1.044%,1550652940.00,United States,2003,999563,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.36,0.27,1.916%,248188360.00,Canada,,40432,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$13.32,-0.40,-2.915%,118819755.00,United States,1996,33801,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,$8.65,-0.02,-0.231%,14851548.00,United States,,945,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.1017,-0.0034,-3.235%,5252045.00,China,,832441,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$55.37,0.85,1.559%,26800830966.00,United States,2007,70803,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.39,-0.04,-0.538%,717935248.00,United States,2003,510133,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$27.75,0.1899,0.689%,195861998.00,,2021,827,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.14,-0.10,-8.065%,47354850.00,,2022,108837,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.85,-0.07,-2.397%,124487610.00,United States,1997,121017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$28.8999,0.6898,2.445%,27921118.00,United States,1930,1359,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.56,0.09,2.594%,44085000.00,United States,2022,10412,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.412,-0.038,-8.444%,72742564.00,,,1062779,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$3.65,0.32,9.61%,267100616.00,,2022,113928,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.88,-0.01,-0.529%,194605822.00,United States,1998,249222,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$176.00,-2.40,-1.345%,107545152.00,United States,1999,1106,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$11.65,-0.36,-2.998%,81564796.00,United States,2000,16906,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.55,-0.01,-0.152%,135960099.00,United States,1988,36941,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.01,0.00,0.00%,0.00,,2022,55,Industrials,Consumer Electronics/Appliances
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.26,0.02,1.613%,1035990492.00,Canada,,3483976,,
DPSI,DecisionPoint Systems Inc. Common Stock,$10.08,0.26,2.648%,74566740.00,,2022,36414,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.2149,-0.0079,-3.546%,29874790.00,United States,,86341,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.1901,-0.0018,-0.938%,3969133.00,China,,114446,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$6.72,-0.03,-0.444%,401357215.00,United States,2003,131905,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.54,-0.10,-1.157%,117046388.00,United States,1986,48093,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.12,0.21,0.917%,,United States,,2904,,
EFSH,1847 Holdings LLC Common Shares,$1.87,-0.005,-0.267%,9229862.00,,2022,8943,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.52,-0.02,-0.19%,756947496.00,United States,2002,205461,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.67,-0.05,-0.874%,152661240.00,United States,,65609,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$17.5074,1.1274,6.883%,225015347.00,Israel,,120,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.30,-0.02,-0.194%,87396159.00,United States,2011,2953,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$0.91,0.0099,1.10%,71177081.00,United States,,97122,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.13,0.04,1.914%,235572015.00,Canada,,111452,,
ENSV,Enservco Corporation Common Stock,$1.36,-0.035,-2.509%,16168831.00,United States,,155810,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.66,-0.03,-0.31%,173506052.00,United States,2002,33706,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$12.28,-0.35,-2.771%,271339555.00,United States,2022,15107,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.65,-0.06,-0.894%,224214466.00,United States,,212673,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.40,0.39,9.726%,1342250030.00,Canada,,2194394,,
